year,month,trades,stocks,total_deployed
2010,2,30,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",11000
2010,3,32,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",5500
2010,4,32,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",5500
2010,5,32,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",5500
2010,6,32,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",5500
2010,7,32,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",5500
2010,8,32,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",5500
2010,9,32,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",5500
2010,10,32,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KRBL, MAHSEAMLES, MOTILALOFS, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",5500
2010,11,15,"BIRLAMONEY, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JSWENERGY, PRICOLLTD, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",5500
2010,12,1,TAJGVK,5500
2011,1,1,SKMEGGPROD,6050
2011,2,1,HILTON,6050
2011,3,3,"GENUSPOWER, INDIANCARD, SUZLON",6050
2011,4,1,SUZLON,6050
2011,5,1,ADANIPOWER,6050
2011,6,2,"JSWENERGY, SKMEGGPROD",6050
2011,7,2,"ELECON, MOTILALOFS",6050
2011,8,31,"ACE, ADANIPOWER, AMJLAND, BIRLAMONEY, CGCL, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, KRBL, MAHSEAMLES, MOTILALOFS, OBEROIRLTY, PRICOLLTD, RANEHOLDIN, RKFORGE, SHILPAMED, SKMEGGPROD, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",6050
2011,9,1,HBLENGINE,6050
2011,10,1,EIMCOELECO,6050
2011,11,2,"DVL, SUNFLAG",6050
2011,12,2,"ACE, OBEROIRLTY",6050
2012,1,2,"ELECON, INDIANCARD",6655
2012,3,20,"ACE, ADANIPOWER, AMJLAND, BIRLAMONEY, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, INDOTECH, JINDRILL, KRBL, MUTHOOTFIN, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, V2RETAIL",13310
2012,4,1,ELECON,6655
2012,5,1,MUTHOOTFIN,6655
2012,6,1,SKMEGGPROD,6655
2012,7,1,AMJLAND,6655
2012,8,1,TAJGVK,6655
2012,9,1,ADANIPOWER,6655
2012,11,16,"ACE, ADANIPOWER, AMJLAND, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, HBLENGINE, HILTON, JINDRILL, MAHSEAMLES, SKMEGGPROD, SUNFLAG, SUZLON, TARIL, V2RETAIL",13310
2012,12,1,AMJLAND,6655
2013,1,1,MAHSEAMLES,7320
2013,2,1,RKFORGE,7320
2013,3,1,MAHSEAMLES,7320
2013,4,1,JINDRILL,7320
2013,5,1,JUBLFOOD,7320
2013,6,1,JUBLFOOD,7320
2013,7,4,"ACE, OBEROIRLTY, RANEHOLDIN, SUZLON",7320
2013,8,2,"AMJLAND, KRBL",7320
2013,9,1,JINDRILL,7320
2013,10,1,RKFORGE,7320
2013,11,1,RKFORGE,7320
2013,12,1,V2RETAIL,7320
2014,1,1,MAHSEAMLES,8053
2014,2,1,THANGAMAYL,8053
2014,4,5,"BIRLAMONEY, GENUSPOWER, INDOTECH, JUBLFOOD, THANGAMAYL",16105
2014,5,1,THANGAMAYL,8053
2014,6,37,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, CGCL, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KITEX, KRBL, MAHSEAMLES, MOTILALOFS, MUTHOOTFIN, OBEROIRLTY, PRICOLLTD, RANEHOLDIN, RKFORGE, SHAKTIPUMP, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",8053
2014,7,37,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, CGCL, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KITEX, KRBL, MAHSEAMLES, MOTILALOFS, MUTHOOTFIN, OBEROIRLTY, PRICOLLTD, RANEHOLDIN, RKFORGE, SHAKTIPUMP, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",8053
2014,9,41,"ACE, ADANIPOWER, AMJLAND, BAJAJHLDNG, BIRLAMONEY, CGCL, DVL, EIMCOELECO, ELECON, GANESHHOU, GENUSPOWER, GEOJITFSL, HBLENGINE, HILTON, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, JUBLFOOD, KITEX, KRBL, MAHSEAMLES, MOTILALOFS, MUTHOOTFIN, OBEROIRLTY, PRICOLLTD, RANEHOLDIN, RKFORGE, SHAKTIPUMP, SHILPAMED, SKMEGGPROD, SUNFLAG, SUZLON, TAJGVK, TARIL, THANGAMAYL, V2RETAIL",16105
2014,11,3,"ADANIPOWER, DVL, SUZLON",16105
2014,12,1,DVL,8053
2015,1,1,JINDRILL,8858
2015,3,11,"DVL, GANESHHOU, GENUSPOWER, HILTON, INDIANCARD, INDOTECH, JINDRILL, MAHSEAMLES, PRICOLLTD, SUNFLAG, TAJGVK",17716
2015,4,3,"GANESHHOU, MAHSEAMLES, TAJGVK",8858
2015,5,1,INDIANCARD,8858
2015,6,1,INDIANCARD,8858
2015,7,1,SHAKTIPUMP,8858
2015,8,1,CGCL,8858
2015,9,1,JSWENERGY,8858
2015,10,2,"JINDRILL, MAHSEAMLES",8858
2015,11,1,MAHSEAMLES,8858
2015,12,1,JUBLFOOD,8858
2016,2,22,"ACE, ADANIPOWER, BAJAJHLDNG, DVL, EIMCOELECO, ELECON, GANESHHOU, GEOJITFSL, HBLENGINE, JINDRILL, JSWENERGY, JUBLFOOD, KITEX, MAHSEAMLES, MOTILALOFS, OBEROIRLTY, RANEHOLDIN, RKFORGE, SHAKTIPUMP, SHILPAMED, SUZLON",19487
2016,3,1,OBEROIRLTY,9744
2016,5,21,"ACE, AMJLAND, BAJAJHLDNG, BIRLAMONEY, CGCL, DVL, EIMCOELECO, ELECON, GANESHHOU, GEOJITFSL, HBLENGINE, HILTON, JSWENERGY, JUBLFOOD, KITEX, MOTILALOFS, RANEHOLDIN, RKFORGE, SUZLON, V2RETAIL",19487
2016,6,12,"AMJLAND, ARROWGREEN, CGCL, EIMCOELECO, ELECON, HBLENGINE, JUBLFOOD, KITEX, NILAINFRA, RKFORGE, SKMEGGPROD, SUZLON",9744
2016,7,1,CGCL,9744
2016,8,15,"ADANIPOWER, AMJLAND, ARROWGREEN, DVL, ELECON, GENUSPOWER, HBLENGINE, HILTON, INDOTECH, JUBLFOOD, KITEX, RKFORGE, SHAKTIPUMP, SKMEGGPROD, SUZLON",9744
2016,10,15,"ADANIPOWER, AMJLAND, ARROWGREEN, ELECON, GANESHHOU, GENUSPOWER, HBLENGINE, HILTON, INDOTECH, JUBLFOOD, KITEX, RKFORGE, SHAKTIPUMP, SKMEGGPROD, SUZLON",19487
2016,11,1,SUZLON,9744
2016,12,2,"JSWENERGY, JUBLFOOD",9744
2017,1,1,GANESHHOU,10718
2017,3,11,"ARROWGREEN, DVL, ELECON, GENUSPOWER, INDIANCARD, INDOTECH, JINDRILL, JSWENERGY, KITEX, PRICOLLTD, THANGAMAYL",21436
2017,4,10,"AMJLAND, ARROWGREEN, DVL, ELECON, GENUSPOWER, INDIANCARD, JINDRILL, JSWENERGY, KITEX, PRICOLLTD",10718
2017,5,7,"ADANIPOWER, GENUSPOWER, INDIANCARD, JINDRILL, JSWENERGY, KITEX, PRICOLLTD",10718
2017,6,1,JINDRILL,10718
2017,7,1,INDOTECH,10718
2017,8,1,INDIANCARD,10718
2017,9,1,SHILPAMED,10718
2017,10,1,SHILPAMED,10718
2017,11,1,TARIL,10718
2017,12,1,SUZLON,10718
2018,1,11,"ARROWGREEN, BIRLAMONEY, BSE, EIMCOELECO, INDIANCARD, INDOTECH, KRISHANA, MBAPL, MUTHOOTFIN, SHILPAMED, SUZLON",11790
2018,2,1,KRISHANA,11790
2018,3,2,"MUTHOOTFIN, SHILPAMED",11790
2018,4,1,ARROWGREEN,11790
2018,5,2,"BSE, INDIANCARD",11790
2018,6,1,EIMCOELECO,11790
2018,7,1,KITEX,11790
2018,8,1,INDIANCARD,11790
2018,9,1,RKFORGE,11790
2018,10,1,HILTON,11790
2018,11,1,GANESHHOU,11790
2018,12,2,"GANESHHOU, JSWENERGY",11790
2019,1,1,RKFORGE,12969
2019,2,2,"INDIANCARD, V2RETAIL",12969
2019,3,2,"JINDRILL, SKMEGGPROD",12969
2019,4,1,JINDRILL,12969
2019,5,1,LLOYDSENGG,12969
2019,6,1,MAHSEAMLES,12969
2019,7,1,SKMEGGPROD,12969
2019,8,2,"GENUSPOWER, THANGAMAYL",12969
2019,9,1,BIRLAMONEY,12969
2019,10,1,TARIL,12969
2019,11,2,"HILTON, SUNFLAG",12969
2019,12,1,JINDRILL,12969
2020,1,1,NILAINFRA,14266
2020,2,1,RANEHOLDIN,14266
2020,3,1,SKMEGGPROD,14266
2020,4,1,V2RETAIL,14266
2020,5,1,HBLENGINE,14266
2020,6,1,TARIL,14266
2020,7,1,SHAKTIPUMP,14266
2020,8,2,"DVL, MBAPL",14266
